roi,quantile,R0,United States_avg,ar,car,ifr,ir,loo,lp__rhat,waic,n_data_pts,t0
BR_Piaui,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,858.0,89.0
BR_Piaui,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,89.0
BR_Piaui,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,89.0
BR_Rio Grande do Norte,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,616.0,80.0
BR_Rio Grande do Norte,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,616.0,80.0
BR_Rio Grande do Norte,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,616.0,80.0
BR_Rio Grande do Norte,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,616.0,80.0
BR_Rio Grande do Norte,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,616.0,80.0
BR_Rio Grande do Norte,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,80.0
BR_Rio Grande do Norte,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,80.0
BR_Rio Grande do Sul,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,917.0,78.0
BR_Rio Grande do Sul,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,917.0,78.0
BR_Rio Grande do Sul,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,917.0,78.0
BR_Rio Grande do Sul,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,917.0,78.0
BR_Rio Grande do Sul,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,917.0,78.0
BR_Rio Grande do Sul,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,78.0
BR_Rio Grande do Sul,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,78.0
BR_Rio de Janeiro,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,907.0,70.0
BR_Rio de Janeiro,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,907.0,70.0
